file,class
dataset/backward/00000030_NO_01.wav,backward
dataset/backward/00000030_NO_02.wav,backward
dataset/backward/00000030_NO_03.wav,backward
dataset/backward/00000030_NO_04.wav,backward
dataset/backward/00000030_NO_05.wav,backward
dataset/backward/00000030_NO_06.wav,backward
dataset/backward/00000030_NO_07.wav,backward
dataset/backward/00000030_NO_08.wav,backward
dataset/backward/00000030_NO_09.wav,backward
dataset/backward/00000030_NO_10.wav,backward
dataset/backward/00000013_NO_01.wav,backward
dataset/backward/00000013_NO_02.wav,backward
dataset/backward/00000013_NO_03.wav,backward
dataset/backward/00000013_NO_04.wav,backward
dataset/backward/00000013_NO_05.wav,backward
dataset/backward/00000013_NO_06.wav,backward
dataset/backward/00000013_NO_07.wav,backward
dataset/backward/00000013_NO_08.wav,backward
dataset/backward/00000013_NO_09.wav,backward
dataset/backward/00000013_NO_10.wav,backward
dataset/backward/00000017_NO_01.wav,backward
dataset/backward/00000017_NO_02.wav,backward
dataset/backward/00000017_NO_03.wav,backward
dataset/backward/00000017_NO_04.wav,backward
dataset/backward/00000017_NO_05.wav,backward
dataset/backward/00000017_NO_06.wav,backward
dataset/backward/00000017_NO_07.wav,backward
dataset/backward/00000017_NO_08.wav,backward
dataset/backward/00000017_NO_09.wav,backward
dataset/backward/00000017_NO_10.wav,backward
dataset/backward/00000020_NO_01.wav,backward
dataset/backward/00000020_NO_02.wav,backward
dataset/backward/00000020_NO_03.wav,backward
dataset/backward/00000020_NO_04.wav,backward
dataset/backward/00000020_NO_05.wav,backward
dataset/backward/00000020_NO_06.wav,backward
dataset/backward/00000020_NO_07.wav,backward
dataset/backward/00000020_NO_08.wav,backward
dataset/backward/00000020_NO_09.wav,backward
dataset/backward/00000020_NO_10.wav,backward
dataset/backward/00000022_NO_01.wav,backward
dataset/backward/00000022_NO_02.wav,backward
dataset/backward/00000022_NO_03.wav,backward
dataset/backward/00000022_NO_04.wav,backward
dataset/backward/00000022_NO_05.wav,backward
dataset/backward/00000022_NO_06.wav,backward
dataset/backward/00000022_NO_07.wav,backward
dataset/backward/00000022_NO_08.wav,backward
dataset/backward/00000022_NO_09.wav,backward
dataset/backward/00000022_NO_10.wav,backward
dataset/backward/00000009_NO_01.wav,backward
dataset/backward/00000009_NO_02.wav,backward
dataset/backward/00000009_NO_03.wav,backward
dataset/backward/00000009_NO_04.wav,backward
dataset/backward/00000009_NO_05.wav,backward
dataset/backward/00000009_NO_06.wav,backward
dataset/backward/00000009_NO_07.wav,backward
dataset/backward/00000009_NO_08.wav,backward
dataset/backward/00000009_NO_09.wav,backward
dataset/backward/00000009_NO_10.wav,backward
dataset/backward/00000005_NO_01.wav,backward
dataset/backward/00000005_NO_02.wav,backward
dataset/backward/00000005_NO_03.wav,backward
dataset/backward/00000005_NO_04.wav,backward
dataset/backward/00000005_NO_05.wav,backward
dataset/backward/00000005_NO_06.wav,backward
dataset/backward/00000005_NO_07.wav,backward
dataset/backward/00000005_NO_08.wav,backward
dataset/backward/00000005_NO_09.wav,backward
dataset/backward/00000005_NO_10.wav,backward
dataset/backward/00000027_NO_01.wav,backward
dataset/backward/00000027_NO_02.wav,backward
dataset/backward/00000027_NO_03.wav,backward
dataset/backward/00000027_NO_04.wav,backward
dataset/backward/00000027_NO_05.wav,backward
dataset/backward/00000027_NO_06.wav,backward
dataset/backward/00000027_NO_07.wav,backward
dataset/backward/00000027_NO_08.wav,backward
dataset/backward/00000027_NO_09.wav,backward
dataset/backward/00000027_NO_10.wav,backward
dataset/backward/00000011_NO_01.wav,backward
dataset/backward/00000011_NO_02.wav,backward
dataset/backward/00000011_NO_03.wav,backward
dataset/backward/00000011_NO_04.wav,backward
dataset/backward/00000011_NO_05.wav,backward
dataset/backward/00000011_NO_06.wav,backward
dataset/backward/00000011_NO_07.wav,backward
dataset/backward/00000011_NO_08.wav,backward
dataset/backward/00000011_NO_09.wav,backward
dataset/backward/00000011_NO_10.wav,backward
dataset/backward/00000023_NO_01.wav,backward
dataset/backward/00000023_NO_02.wav,backward
dataset/backward/00000023_NO_03.wav,backward
dataset/backward/00000023_NO_04.wav,backward
dataset/backward/00000023_NO_05.wav,backward
dataset/backward/00000023_NO_06.wav,backward
dataset/backward/00000023_NO_07.wav,backward
dataset/backward/00000023_NO_08.wav,backward
dataset/backward/00000023_NO_09.wav,backward
dataset/backward/00000023_NO_10.wav,backward
dataset/backward/00000001_NO_01.wav,backward
dataset/backward/00000001_NO_02.wav,backward
dataset/backward/00000001_NO_03.wav,backward
dataset/backward/00000001_NO_04.wav,backward
dataset/backward/00000001_NO_05.wav,backward
dataset/backward/00000001_NO_06.wav,backward
dataset/backward/00000001_NO_07.wav,backward
dataset/backward/00000001_NO_08.wav,backward
dataset/backward/00000001_NO_09.wav,backward
dataset/backward/00000001_NO_10.wav,backward
dataset/backward/00000019_NO_01.wav,backward
dataset/backward/00000019_NO_02.wav,backward
dataset/backward/00000019_NO_03.wav,backward
dataset/backward/00000019_NO_04.wav,backward
dataset/backward/00000019_NO_05.wav,backward
dataset/backward/00000019_NO_06.wav,backward
dataset/backward/00000019_NO_07.wav,backward
dataset/backward/00000019_NO_08.wav,backward
dataset/backward/00000019_NO_09.wav,backward
dataset/backward/00000019_NO_10.wav,backward
dataset/backward/00000029_NO_01.wav,backward
dataset/backward/00000029_NO_02.wav,backward
dataset/backward/00000029_NO_03.wav,backward
dataset/backward/00000029_NO_04.wav,backward
dataset/backward/00000029_NO_05.wav,backward
dataset/backward/00000029_NO_06.wav,backward
dataset/backward/00000029_NO_07.wav,backward
dataset/backward/00000029_NO_08.wav,backward
dataset/backward/00000029_NO_09.wav,backward
dataset/backward/00000029_NO_10.wav,backward
dataset/backward/00000018_NO_01.wav,backward
dataset/backward/00000018_NO_02.wav,backward
dataset/backward/00000018_NO_03.wav,backward
dataset/backward/00000018_NO_04.wav,backward
dataset/backward/00000018_NO_05.wav,backward
dataset/backward/00000018_NO_06.wav,backward
dataset/backward/00000018_NO_07.wav,backward
dataset/backward/00000018_NO_08.wav,backward
dataset/backward/00000018_NO_09.wav,backward
dataset/backward/00000018_NO_10.wav,backward
dataset/backward/00000015_NO_01.wav,backward
dataset/backward/00000015_NO_02.wav,backward
dataset/backward/00000015_NO_03.wav,backward
dataset/backward/00000015_NO_04.wav,backward
dataset/backward/00000015_NO_05.wav,backward
dataset/backward/00000015_NO_06.wav,backward
dataset/backward/00000015_NO_07.wav,backward
dataset/backward/00000015_NO_08.wav,backward
dataset/backward/00000015_NO_09.wav,backward
dataset/backward/00000015_NO_10.wav,backward
dataset/backward/00000016_NO_01.wav,backward
dataset/backward/00000016_NO_02.wav,backward
dataset/backward/00000016_NO_03.wav,backward
dataset/backward/00000016_NO_04.wav,backward
dataset/backward/00000016_NO_05.wav,backward
dataset/backward/00000016_NO_06.wav,backward
